tANS Static Decoder
Estado inicial: 10
Symbol[0] = 0 | Novo estado = 14
Symbol[1] = 1 | Novo estado = 12
Symbol[2] = 1 | Novo estado = 9
Symbol[3] = 0 | Novo estado = 11
Symbol[4] = 0 | Novo estado = 16
Symbol[5] = -1 | Novo estado = 16
Symbol[6] = -1 | Novo estado = 16
Symbol[7] = -1 | Novo estado = 16
Symbol[8] = -1 | Novo estado = 16
Symbol[9] = -1 | Novo estado = 16
Symbol[10] = -1 | Novo estado = 16
Symbol[11] = -1 | Novo estado = 16
Symbol[12] = -1 | Novo estado = 16
Symbol[13] = -1 | Novo estado = 16
Symbol[14] = -1 | Novo estado = 16
Symbol[15] = -1 | Novo estado = 16
Symbol[16] = -1 | Novo estado = 16
Symbol[17] = -1 | Novo estado = 16
Symbol[18] = -1 | Novo estado = 16
Symbol[19] = -1 | Novo estado = 16
Symbol[20] = -1 | Novo estado = 16
Symbol[21] = -1 | Novo estado = 16
Symbol[22] = -1 | Novo estado = 16
Symbol[23] = -1 | Novo estado = 16
Symbol[24] = -1 | Novo estado = 16
Symbol[25] = -1 | Novo estado = 16
Symbol[26] = -1 | Novo estado = 16
Symbol[27] = -1 | Novo estado = 16
Symbol[28] = -1 | Novo estado = 16
Symbol[29] = -1 | Novo estado = 16
Symbol[30] = -1 | Novo estado = 16
Symbol[31] = -1 | Novo estado = 16
Symbol[32] = -1 | Novo estado = 16
Symbol[33] = -1 | Novo estado = 16
Symbol[34] = -1 | Novo estado = 16
Symbol[35] = -1 | Novo estado = 16
Symbol[36] = -1 | Novo estado = 16
Symbol[37] = -1 | Novo estado = 16
Symbol[38] = -1 | Novo estado = 16
Symbol[39] = -1 | Novo estado = 16
Symbol[40] = -1 | Novo estado = 16
Symbol[41] = -1 | Novo estado = 16
Symbol[42] = -1 | Novo estado = 16
Symbol[43] = -1 | Novo estado = 16
Symbol[44] = -1 | Novo estado = 16
Symbol[45] = -1 | Novo estado = 16
Symbol[46] = -1 | Novo estado = 16
Symbol[47] = -1 | Novo estado = 16
Symbol[48] = -1 | Novo estado = 16
Symbol[49] = -1 | Novo estado = 16
Symbol[50] = -1 | Novo estado = 16
Symbol[51] = -1 | Novo estado = 16
Symbol[52] = -1 | Novo estado = 16
Symbol[53] = -1 | Novo estado = 16
Symbol[54] = -1 | Novo estado = 16
Symbol[55] = -1 | Novo estado = 16
Symbol[56] = -1 | Novo estado = 16
Symbol[57] = -1 | Novo estado = 16
Symbol[58] = -1 | Novo estado = 16
Symbol[59] = -1 | Novo estado = 16
Symbol[60] = -1 | Novo estado = 16
Symbol[61] = -1 | Novo estado = 16
Symbol[62] = -1 | Novo estado = 16
Symbol[63] = -1 | Novo estado = 16
Symbol[64] = -1 | Novo estado = 16
Symbol[65] = -1 | Novo estado = 16
Symbol[66] = -1 | Novo estado = 16
Symbol[67] = -1 | Novo estado = 16
Symbol[68] = -1 | Novo estado = 16
Symbol[69] = -1 | Novo estado = 16
Symbol[70] = -1 | Novo estado = 16
Symbol[71] = -1 | Novo estado = 16
Symbol[72] = -1 | Novo estado = 16
Symbol[73] = -1 | Novo estado = 16
Symbol[74] = -1 | Novo estado = 16
Symbol[75] = -1 | Novo estado = 16
Symbol[76] = -1 | Novo estado = 16
Symbol[77] = -1 | Novo estado = 16
Symbol[78] = -1 | Novo estado = 16
Symbol[79] = -1 | Novo estado = 16
Symbol[80] = -1 | Novo estado = 16
Symbol[81] = -1 | Novo estado = 16
Symbol[82] = -1 | Novo estado = 16
Symbol[83] = -1 | Novo estado = 16
Symbol[84] = -1 | Novo estado = 16
Symbol[85] = -1 | Novo estado = 16
Symbol[86] = -1 | Novo estado = 16
Symbol[87] = -1 | Novo estado = 16
Symbol[88] = -1 | Novo estado = 16
Symbol[89] = -1 | Novo estado = 16
Symbol[90] = -1 | Novo estado = 16
Symbol[91] = -1 | Novo estado = 16
Symbol[92] = -1 | Novo estado = 16
Symbol[93] = -1 | Novo estado = 16
Symbol[94] = -1 | Novo estado = 16
Symbol[95] = -1 | Novo estado = 16
Symbol[96] = -1 | Novo estado = 16
Symbol[97] = -1 | Novo estado = 16
Symbol[98] = -1 | Novo estado = 16
Symbol[99] = -1 | Novo estado = 16
Arquivo decodificado: resultado_final.txt

Decodificacao concluida.
